order,name,height(cm),Measured Date
1,George Washington,1080,2/11/2018
2,John Adams,170,2/12/2018
3,Thomas Jefferson,189,2/13/2018
4,James Madison,163,2/14/2018
5,James Monroe,183,2/15/2018
6,John Quincy Adams,171,2/16/2018
7,Andrew Jackson,185,2/17/2018
8,Martin Van Buren,168,2/18/2018
9,William Henry Harrison,173,2/19/2018
10,John Tyler,183,2/20/2018
11,James K. Polk,173,2/21/2018
12,Zachary Taylor,173,2/22/2018
13,Millard Fillmore,175,2/23/2018
14,Franklin Pierce,1780,2/24/2018
15,,183,2/25/2018
16,Abraham Lincoln,193,2/26/2018
17,Andrew Johnson,178,2/27/2018
18,Ulysses S. Grant,173,2/28/2018
19,Rutherford B. Hayes,174,3/1/2018
20,James A. Garfield,183,3/2/2018
21,Chester A. Arthur,183,3/3/2018
23,Benjamin Harrison,,3/4/2018
25,William McKinley,170,3/5/2018
26,Theodore Roosevelt,178,3/6/2018
27,William Howard Taft,182,3/7/2018
28,Woodrow Wilson,180,3/8/2018
29,Warren G. Harding,183,3/9/2018
30,Calvin Coolidge,178,3/10/2018
32,Franklin D. Roosevelt,188,3/12/2018
33,Harry S. Truman,175,3/13/2018
34,Dwight D. Eisenhower,179,3/14/2018
35,John F. Kennedy,183,3/15/2018
36,Lyndon B. Johnson,193,3/16/2018
37,Richard Nixon,182,3/17/2018
38,Gerald Ford,183,3/18/2018
39,Jimmy Carter,177,3/19/2018
40,,185,3/20/2018
41,George H. W. Bush,188,3/21/2018
42,Bill Clinton,188,3/22/2018
43,George W. Bush,182,3/23/2018
44,Barack Obama,185,3/24/2018
